id,complaint_id,status,message,created_at,updated_at,deleted_at
1,C-81j9aK9280,Pending,Aduan anda akan segera kami periksa,2024-06-20 16:47:23.230,2024-06-20 16:47:23.230,
2,C-8kshis9280,Pending,Aduan anda akan segera kami periksa,2024-06-20 16:47:24.225,2024-06-20 16:47:24.225,
3,C-8kshis9280,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-20 16:47:25.288,2024-06-20 16:47:25.288,
4,C-8kshis9280,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-20 16:47:26.355,2024-06-20 16:47:26.355,
5,C-8kshis9280,Selesai,Aduan anda telah selesai ditangani,2024-06-20 16:47:27.433,2024-06-20 16:47:27.433,
6,C-81jas92581,Pending,Aduan anda akan segera kami periksa,2024-06-20 16:47:28.493,2024-06-20 16:47:28.493,
7,C-81jas92581,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-20 16:47:29.492,2024-06-20 16:47:29.492,
8,C-271j9ak280,Pending,Aduan anda akan segera kami periksa,2024-06-20 16:47:30.468,2024-06-20 16:47:30.468,
9,C-271j9ak280,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-20 16:47:31.537,2024-06-20 16:47:31.537,
10,C-271j9ak280,On Progress,Sedang dalam proses penanganan,2024-06-20 16:47:32.525,2024-06-20 16:47:32.525,
11,C-123j9ak280,Pending,Aduan anda akan segera kami periksa,2024-06-20 16:47:33.503,2024-06-20 16:47:33.503,
12,C-123j9ak280,Ditolak,Aduan anda ditolak karena tidak sesuai dengan ketentuan yang berlaku,2024-06-20 16:47:34.503,2024-06-20 16:47:34.503,
13,C-2dd95e75d8,Pending,Aduan anda akan segera kami periksa,2024-06-20 12:50:49.772,2024-06-20 12:50:49.772,
14,C-8a708ab9d5,Pending,Aduan anda akan segera kami periksa,2024-06-20 14:17:20.308,2024-06-20 14:17:20.308,
15,C-d965289620,Pending,Aduan anda akan segera kami periksa,2024-06-20 15:21:09.186,2024-06-20 15:21:09.186,
16,C-1947d78044,Pending,Aduan anda akan segera kami periksa,2024-06-21 07:24:34.387,2024-06-21 07:24:34.387,
157,C-dfghjkjubvc,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-19 18:10:00.000,2024-06-20 19:15:00.000,
158,C-dfghjkjubvc,Selesai,Aduan anda telah selesai ditangani,2024-06-20 18:10:00.000,2024-06-21 19:15:00.000,
